ITEM: TIMESTEP
100000
ITEM: NUMBER OF ATOMS
15812
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 4.0459931049461368e+01
0.0000000000000000e+00 4.0459931049461368e+01
0.0000000000000000e+00 4.0459931049461368e+01
ITEM: ATOMS id vx vy vz
1103 -1.40519 -1.02452 -1.72264
5791 -0.952845 1.99577 -2.15942
1593 0.90762 -0.644143 -0.361412
10822 -0.575681 -2.63385 3.1422
5143 1.77091 0.97027 0.889348
13493 3.94052 -0.0988442 -1.34357
2894 -2.10306 1.5617 -0.890973
4347 1.08377 1.89665 1.04597
9163 0.0249866 -1.01888 -1.86115
5959 2.44163 3.06915 -0.176012
12296 -2.35938 2.80574 -1.74004
5368 2.93934 0.879386 -2.8384
8092 1.7831 0.576475 -0.276666
3314 3.97176 -3.40593 -1.17425
15768 0.83402 -1.0215 2.0639
2356 0.111004 -1.61931 0.615376
4647 -3.00068 2.37096 0.696787
9685 2.22235 3.14228 2.73745
1019 0.0430311 -1.34607 0.951216
10219 -1.53406 4.13544 -2.03423
4278 -0.639062 1.45821 -0.485047
7127 1.11363 -2.30004 -2.50717
3775 -0.742747 2.92267 -0.229638
7347 0.07066 -2.84642 3.21312
10237 -0.735745 1.28966 1.57518
5423 1.56642 0.079663 -2.07239
7749 -0.164671 -3.21874 -0.327081
9446 0.471242 -0.452176 0.869727
12933 -0.121042 -0.536708 0.925289
12585 -0.92091 -1.71038 3.15206
2972 -2.73855 1.02945 -1.53683
4481 0.489341 -1.72876 3.98436
2190 -0.0962099 -1.09411 -3.19
13365 2.44326 0.300241 -0.590375
12001 -0.521748 3.85153 -2.04636
9399 -0.836254 0.649324 -1.35741
934 -3.51778 0.223782 1.23282
13699 0.126283 0.825003 1.51078
14504 0.00842793 0.197387 1.57121
2913 -0.0850221 0.655269 -1.24789
1355 1.76177 -0.237222 0.255318
3030 0.42504 -1.25956 2.21994
6707 0.0524328 1.52733 -2.43291
7255 -1.6382 -0.203588 0.990554
9659 2.24914 0.0624348 -0.911947
13275 -3.17249 -0.277092 -1.81624
6263 3.07399 -0.855212 -1.27026
7854 -0.0236276 -0.659662 1.07605
7719 -2.92441 -2.11178 0.877208
1683 -0.430554 0.294784 -0.667864
1796 -2.51851 -1.2107 1.5126
6734 -0.315423 -0.478619 2.51426
11401 -0.719949 2.145 -1.33501
15409 1.03232 0.630161 1.01171
10085 -0.804061 -1.653 0.910198
12152 -2.53868 -2.79922 1.11521
6098 -2.26907 -3.5906 -0.00513698
1448 -0.0723959 -2.55814 0.181193
15338 -1.89685 -1.92477 1.47681
14832 1.18481 0.808701 -0.825133
7665 -0.771804 -0.859911 -1.74428
3460 -2.73737 -1.69142 1.65177
14074 0.560585 1.31317 2.97484
11447 -0.902155 -1.6515 1.36273
11820 1.49112 -0.181443 -1.58922
10971 -0.06482 -1.83965 2.18329
3548 -1.55902 0.503454 1.88343
14676 -3.39424 -0.879246 3.95825
5661 2.42912 0.879506 2.10544
344 -2.949 0.174281 1.78608
3384 1.30857 0.817579 0.962518
10964 2.20684 0.708182 -2.40763
129 0.347697 0.891316 0.202769
12817 1.3482 0.0253087 -1.85128
1388 -3.67077 -2.38311 1.40077
1654 -1.11385 -0.205948 -0.264785
463 -3.72868 1.49485 -0.326435
8269 2.12647 -0.576308 0.992377
11787 1.03941 0.00520855 2.95219
9179 0.332762 -2.7132 -1.53417
7488 1.62724 -1.3368 -0.537499
2848 1.32002 2.62211 3.08884
3561 -4.41692 0.996635 1.43637
11961 -0.28345 0.780619 -2.54167
